供应商,客户或合作方,客户类型,关系类型,工作内容或领域,原文证据,来源链接,来源日期,来源类型,置信度,分段
智源 FlagEval,北京大学,高校研究机构,共建基准,HalluDial 幻觉评测集,与北京大学共建的HalluDial幻觉评测集,https://hub.baai.ac.cn/view/42023,2024-12,官方社区（搜索摘要）,中,china
智源 FlagEval,北京师范大学,高校研究机构,共建基准,CMMU 多模态评测集,与北师大共建的CMMU多模态评测集,https://hub.baai.ac.cn/view/42023,2024-12,官方社区（搜索摘要）,中,china
深圳数据交易所,北京瑞莱智慧科技有限公司,AI 应用公司,客户,语料数据场内交易首单（买方；卖方为哈工大深圳）,成功链接哈尔滨工业大学（深圳）与北京瑞莱智慧…实现全国首个语言语料数据实质性场内交易闭环,https://www.sznews.com/news/content/2023-11/27/content_30612002.htm,2023-11-27,媒体报道（深圳新闻网）,低,china
Abaka AI,北大,科技大厂,共建基准,REER逆向工程推理（开放式生成）论文，2077AI为署名机构,2077AI appears as an affiliation…alongside ByteDance Seed,https://arxiv.org/html/2509.06160v1,2025-09,论文/搜索摘要,中,china
星尘数据 Stardust,华为云,科技大厂,合作,智驾数据标注,星尘数据与华为云达成战略合作，双方将围绕智驾数据展开深度合作,https://blog.csdn.net/stardust_ai/article/details/131858898,2023-07,官方博客,低,china
星尘数据 Stardust,华为云,科技大厂,合作,智驾数据；ModelArts标注平台合作伙伴,与华为云达成战略合作，双方将围绕智驾数据展开深度合作,https://blog.csdn.net/Stardust_ai/article/details/131858898,2023-07,官方博客/搜索摘要,中,china
深圳数据交易所,华为云/中国信通院,科技大厂,合作,可信数据空间创新实验室：大模型语料合规流通,联合中国信通院、华为云等升级可信数据空间创新实验室，打造大模型语料安全合规流通新路径,https://www.ygacity.com/tech/20231124/11616.html,2023-11-24,媒体报道,低,china
星尘数据 Stardust,华为云盘古大模型生态,科技大厂,合作,大模型生态伙伴,受邀参加盘古大模型发布会，与华为云共同构建企业AI生态,https://blog.csdn.net/stardust_ai/article/details/131665553,2023-07,官方博客/搜索摘要,低,china
景联文科技,华为数据存储,科技大厂,合作,AI数据湖数据工程联合解决方案,2025年华为中国合作伙伴大会上，华为携手景联文科技发布面向AI数据湖的数据工程联合解决方案,https://www.sohu.com/a/969189528_121696146,2025,媒体软文/搜索摘要,中,china
恺望数据,华方资本,政府,投资方,逾亿元战略融资,由北京亦庄产业升级基金、华方资本、天际资本多方联合领投,https://news.pedaily.cn/202608/567244.shtml,2026-08-04,融资稿,高,china
星尘数据 Stardust,华映资本（领投）,其他,投资方,A轮5000万元,完成5000万元A轮融资，华映资本领投,https://finance.sina.cn/tech/2023-01-04/detail-imxyzfyi9043456.d.html,2023-01-04,融资稿/搜索摘要,中,china
光轮智能 Lightwheel,博世,企业,合作,仿真资产/合成数据/评测,合作伙伴涵盖英伟达、谷歌、Figure AI、1X Technologies…阿里、智元机器人…比亚迪、吉利等,https://finance.sina.com.cn/wm/2026-03-12/doc-inhqtcut4893757.shtml,2026-03-12,融资稿/媒体报道,中,china
龙猫数据,博世,企业,客户,自动驾驶数据标注,自动驾驶领域的蔚来、理想、博世等,https://www.sohu.com/a/873181553_701215,未核（约2025）,媒体软文/搜索摘要,低,china
光轮智能 Lightwheel,博世 Bosch,企业,客户,仿真/合成数据,客户覆盖…丰田、博世、比亚迪、吉利等,https://news.qq.com/rain/a/20260311A055JX00,2026-03-11,媒体（融资通稿，搜索摘要）,中,china
Abaka AI,卡内基梅隆大学,高校研究机构,共建基准,KINA知识评测基准,"KINA is developed through a collaboration among 2077AI, M-A-P, the University of Tokyo, and CMU",https://arxiv.org/pdf/2606.05104,2026-06,论文/搜索摘要,中,china
Scale AI,卡塔尔政府,政府,客户,五年合作，支撑 50 多个公共部门 AI 应用,five-year partnership with the Qatari government ... over 50 public sector AI applications,https://sacra.com/c/scale-ai/,2025,二手转述（搜索摘要）,低,overseas-large
星尘数据 Stardust,厚天资本,其他,投资方,A轮5000万元,完成5000万元A轮融资，华映资本领投,https://finance.sina.cn/tech/2023-01-04/detail-imxyzfyi9043456.d.html,2023-01-04,融资稿/搜索摘要,中,china
Innodata,另一大厂客户（均未具名）,科技大厂,财报披露,2026 Q2 最大客户占 37%（Q1 为 56%），另一大厂客户从 17% 升至 34%；最大客户新签长程智能体个性化与电脑操作 RL 环境项目,"the largest customer represented 37% of revenue, down from 56% in Q1, while the Big Tech customer scaled from 17% of revenue to 34%",https://www.investing.com/news/transcripts/earnings-call-transcript-innodata-beats-q2-2026-estimates-shares-jump-after-hours-93CH-4844694,2026-08-06,财报电话会,高,overseas-large
光轮智能 Lightwheel,吉利,企业,合作,仿真资产/合成数据/评测,合作伙伴涵盖英伟达、谷歌、Figure AI、1X Technologies…阿里、智元机器人…比亚迪、吉利等,https://finance.sina.com.cn/wm/2026-03-12/doc-inhqtcut4893757.shtml,2026-03-12,融资稿/媒体报道,中,china
光轮智能 Lightwheel,吉利 Geely,企业,合作,GR00T N1.5 部署于吉利工厂 Unitree H1 人形机器人,deployed GR00T N1.5 foundation models in Unitree H1 humanoid robots at Geely's live automotive factory,https://www.nvidia.com/en-us/case-studies/lightwheel/,2026,NVIDIA 客户案例（搜索摘要）,中,china
倍赛 BasicFinder,商汤,科技大厂,官网客户墙（转述）,数据采集标注,已服务过中国科学院、京东、商汤、科大讯飞、腾讯等数百家知名企业及机构,https://www.basicfinder.com/AboutUs/company/,未核,官网/搜索摘要,低,china
恺望数据,商汤,AI应用公司,客户,AI大模型数据,合作客户包括商汤、字节跳动与文心一言等,https://startup.aliyun.com/info/1062313.html,约2023（Pre-A）,融资稿/搜索摘要,中,china
标贝科技 DataBaker,喜马拉雅/Rokid/Roobo,AI 应用公司,官网客户墙（转述）,语音合成数据与解决方案,获得百度、滴滴、腾讯、喜马拉雅小雅音箱、芋头科技Rokid、Roobo机器人等大客户的长期稳定合作,https://36kr.com/p/1721970114561,2019前后,媒体报道（36氪，搜索摘要）,低,china
曼孚科技 MindFlow,嘉远资本,其他,投资方,B+++轮近亿元,完成近亿元B+++轮融资，本轮投资方为嘉远资本,https://www.mindflow.com.cn/NewsStd_1174.html,2025-07,官网融资稿,高,china
博登智能 Boden AI,国和投资（上海国际集团）,政府,投资方,A轮亿元,完成亿元A轮融资，由…国和投资进行独家投资,https://finance.sina.com.cn/jjxw/2025-06-10/doc-inezpuqn5913559.shtml,2025-06-10,融资稿,高,china
博登智能 Boden AI,多家大模型企业（未具名）,国内大模型公司,客户,真实世界数据治理、跨模态对齐,在大模型领域…已与多家大模型企业达成深度合作,https://startup.aliyun.com/info/1093634.html,2025-06,融资稿/搜索摘要,中,china
xbench,多家头部猎头公司（未具名）,企业,共建基准,招聘领域 profession-aligned 评测,与多家头部猎头公司合作分析专家工作任务,https://www.hongshan.com/article/%E4%BB%8A%E5%A4%A9%EF%BC%8C%E6%88%91%E4%BB%AC%E6%8E%A8%E5%87%BAxbench/,2025-05-26,官网（搜索摘要）,中,china
澳鹏中国 Appen China,大模型AI企业（未具名）,国内大模型公司,客户,大模型/AIGC数据，业务增长526%,几乎所有AI龙头，特别是大模型AI企业都成为了澳鹏的客户,https://tech.chinadaily.com.cn/a/202503/13/WS67d2a07aa310510f19eeb60f.html,2025-03-13,媒体报道/搜索摘要,中,china
龙猫数据,大疆,科技大厂,客户,终端/互联网数据采集标注,客户…包括终端与互联网领域的三星、大疆、腾讯、阿里、字节跳动,https://www.sohu.com/a/873181553_701215,未核（约2025）,媒体软文/搜索摘要,低,china
恺望数据,天际资本（联合领投）,政府,投资方,逾亿元战略融资,由北京亦庄产业升级基金、华方资本、天际资本多方联合领投,https://news.pedaily.cn/202608/567244.shtml,2026-08-04,融资稿,高,china
智能知识,头部大模型公司（未具名）,国内大模型公司,客户,专家数据：Coding、Enterprise Office、Agentic Tool Use,已获得头部大模型公司订单，完成初步PMF,https://zhuanlan.zhihu.com/p/2044128857192714401,2026-06,融资通稿（搜索摘要）,中,china
曼孚科技 MindFlow,头部大模型公司（未具名）,国内大模型公司,客户,大模型数据,国内用户包括主机厂…一线科技公司以及头部大模型公司等,http://www.keji.wang/11662.html,2025-07,融资稿/搜索摘要,中,china
景联文科技,头部手机厂商和大模型公司（未具名）,国内大模型公司,客户,AI训练数据,已经成为国内众多头部手机厂商和大模型公司的核心AI数据服务供应商,https://news.qq.com/rain/a/20250528A03YF900,2025-05-28,融资稿(36氪首发),中,china
xbench,头部营销公司（未具名）,企业,共建基准,营销领域评测：50 个真实推广需求案例,"collaborated with leading marketing companies, collecting 50 real promotion requirement cases",https://www.qbitai.com/2025/05/288023.html,2025-05,媒体（搜索摘要）,中,china
整数智能 MolarData,头部车企与智能驾驶算法客户（未具名）,企业,客户,4D标注，累计交付超100万公里,已与多家头部车企与智能驾驶算法客户达成深度合作,https://36kr.com/p/2902815664806528,2024-08-12,融资稿/搜索摘要,中,china
恺望数据,奇瑞,企业,客户,自动驾驶数据采集标注,在自动驾驶领域与长安、广汽、奇瑞、上汽等车企…建立合作关系,https://startup.aliyun.com/info/1062313.html,约2023（Pre-A）,融资稿/搜索摘要,中,china
智能知识,奇绩创坛,其他,投资方,种子轮,种子轮获得五源资本和奇绩创坛投资,https://news.qq.com/rain/a/20260608A079S700,2026-06-08,投资方新闻（搜索摘要）,中,china
曼孚科技 MindFlow,好未来,科技大厂,客户,自动驾驶/安防/人脸等数据标注,主要客户…包括阿里巴巴、字节跳动、百度、科大讯飞、旷视、好未来等,https://www.mindflow.com.cn/NewsStd_858.html,2022-07,官网融资稿/搜索摘要,低,china
Abaka AI,字节跳动,科技大厂,共建基准,SuperGPQA 285学科研究生级评测集,作者名单：…Jiaheng Liu and Qunshu Lin and Wenhao Huang and Ge Zhang（论文亦列2077AI合作，后者为搜索摘要）,https://raw.githubusercontent.com/SuperGPQA/SuperGPQA/main/README.md,2025-02,论文/GitHub,中,china
Abaka AI,字节跳动,科技大厂,共建基准,REER逆向工程推理（开放式生成）论文，2077AI为署名机构,2077AI appears as an affiliation…alongside ByteDance Seed,https://arxiv.org/html/2509.06160v1,2025-09,论文/搜索摘要,中,china
Abaka AI,字节跳动,科技大厂,共建基准,SuperGPQA 285 学科研究生级基准，2077AI 构建、Abaka 为核心贡献者,"SuperGPQA…constructed by 2077AI Open Source Foundation, with Abaka AI serving as a core contributor",https://seed.bytedance.com/en/blog/doubao-seed-team-launched-supergpqa-an-open-source-benchmark-test-set-covering-285-disciplines,2025-03,官方博客+Abaka 博客（搜索摘要）,中,china
Turing,字节跳动,国内大模型公司,客户,训练数据项目,Internal project documentation suggests US data labeling startup Turing has worked with ByteDance,https://www.forbes.com/sites/annatong/2026/08/05/silicon-valleys-other-china-problem-its-training-their-ai/,2026-08-05,媒体调查（Forbes，内部文件）,中,buyer-side
UniPat AI,字节跳动,国内大模型公司,合作,模型发布采用其 BabyVision 基准（基准被采用，非付费客户关系）：BabyVision 基准被 Seed2.0 模型卡采用（基准采纳，非付费关系）,"BabyVision…adopted by…Seed2.0, Qwen3.5, and Kimi K2.5 in their evaluation systems",https://arxiv.org/pdf/2607.00248,2026-07,论文/模型卡（搜索摘要）,中,china
光轮智能 Lightwheel,字节跳动,科技大厂,客户,具身仿真资产与合成数据,客户覆盖…字节、阿里、智元机器人、银河通用机器人…,https://news.qq.com/rain/a/20260311A055JX00,2026-03-11,媒体（融资通稿，搜索摘要）,中,china
字节跳动,字节跳动,科技大厂,客户,内部自建专家/众包平台，为本公司模型供数：自建专家标注/评测社区，8万+专家，时薪200–500元（竞品/买方自建）,"汇聚各领域顶尖专家…超过80,000名专家加入",https://xpert.bytedance.com/,2025-2026,官网（搜索摘要）,中,china
恺望数据,字节跳动,科技大厂,客户,AI大模型数据,在AI大模型领域的合作客户包括商汤、字节跳动与文心一言等,https://startup.aliyun.com/info/1062313.html,约2023（Pre-A）,融资稿/搜索摘要,中,china
曼孚科技 MindFlow,字节跳动,科技大厂,客户,自动驾驶/安防/人脸等数据标注,主要客户…包括阿里巴巴、字节跳动、百度、科大讯飞、旷视、好未来等,https://www.mindflow.com.cn/NewsStd_858.html,2022-07,官网融资稿/搜索摘要,低,china
未具名供应商,字节跳动,国内大模型公司,招聘暗示,采购部公开寻找标注供应商，重点医疗/法律/教育垂类,抖音集团内容质量与数据服务平台正寻找标注供应商，尤其是医疗、法律、教育等垂类资源丰富的供应商,https://finance.eastmoney.com/a/202503073339120771.html,2025-03-07,媒体报道,中,buyer-side
未具名供应商,字节跳动,国内大模型公司,招聘暗示,自建专家标注平台（Xpert/晓天睿士/企鹅标注）并通过中介公司招募高学历标注员,字节Xpert、阿里晓天睿士、腾讯Qlabel…通过中介公司和官方渠道大规模招募高学历数据标注员,https://m.thepaper.cn/newsDetail_forward_32761250,2025,媒体报道（澎湃，搜索摘要）,低,buyer-side
标贝科技 DataBaker,字节跳动,科技大厂,官网客户墙（转述）,语音合成/识别数据及TTS定制,已与微软、百度、阿里、腾讯、京东、滴滴、字节跳动、网易、360、三星、小鹏、美的…中国银行等百余家企业客户建立合作,https://www.fromgeek.com/corp/1243-518640.html,未知,企业专栏/百科（搜索摘要）,低,china
海天瑞声 SpeechOcean/DataOcean AI,字节跳动,科技大厂,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高,china
海天瑞声 SpeechOcean/DataOcean AI,字节跳动,科技大厂,客户,智能语音/计算机视觉/NLP数据；可提供文生视频等大模型训练数据,字节跳动一直以来是公司的重要客户，公司为其提供智能语音、计算机视觉以及自然语言等各类数据产品或服务,https://www.cls.cn/detail/1858626,未知（互动平台回复）,媒体报道（财联社，搜索摘要）,中,china
热热数据,字节跳动,科技大厂,客户,数据采集与标注（EnableAI平台）,EnableAI为客户提供AI应用开发全生命周期的数据服务，客户包括字节,https://finance.sina.com.cn/stock/relnews/cn/2025-01-21/doc-ineftmqx8608154.shtml,2025-01-21,媒体报道（新浪财经，搜索摘要）,中,china
龙猫数据,字节跳动,科技大厂,客户,终端/互联网数据采集标注,客户…包括终端与互联网领域的三星、大疆、腾讯、阿里、字节跳动,https://www.sohu.com/a/873181553_701215,未核（约2025）,媒体软文/搜索摘要,低,china
曼孚科技 MindFlow,安朴资本,其他,投资方,B轮数千万元,曼孚科技完成数千万元B轮融资，安朴资本投资,https://startup.aliyun.com/info/1066147.html,2023-10,融资稿/搜索摘要,中,china
星尘数据 Stardust,小米,科技大厂,客户,数据标注,星尘数据的服务客户包括百度、小米、京东等,https://www.pencilnews.cn/p/19222.html,未核（早于2024）,媒体报道/搜索摘要,低,china
热热数据,小红书,AI 应用公司,客户,内容审核业务,内容审核业务实现同比增长，其中来自小红书的收入新增明显,https://finance.sina.com.cn/stock/relnews/cn/2025-01-21/doc-ineftmqx8608154.shtml,2025-01-21,媒体报道（新浪财经，搜索摘要）,中,china
标贝科技 DataBaker,小鹏汽车,企业,官网客户墙（转述）,语音合成/识别数据及TTS定制,已与微软、百度、阿里、腾讯、京东、滴滴、字节跳动、网易、360、三星、小鹏、美的…中国银行等百余家企业客户建立合作,https://www.fromgeek.com/corp/1243-518640.html,未知,企业专栏/百科（搜索摘要）,低,china
整数智能 MolarData,峰瑞资本（领投）,其他,投资方,A轮数千万元,完成数千万元A轮融资，由峰瑞资本领投，老股东藕舫天使跟投,https://36kr.com/p/2902815664806528,2024-08-12,融资稿,高,china
恺望数据,广汽,企业,客户,自动驾驶数据采集标注,在自动驾驶领域与长安、广汽、奇瑞、上汽等车企…建立合作关系,https://startup.aliyun.com/info/1062313.html,约2023（Pre-A）,融资稿/搜索摘要,中,china
数据堂 Datatang,开放传神 OpenCSG,AI应用公司,合作,训练数据资源共享与开源生态,与开放传神（OpenCSG）达成战略合作,https://datatang.com/news,2025,官网新闻/搜索摘要,中,china
海天瑞声 SpeechOcean/DataOcean AI,循环智能,AI 应用公司,共建基准,高质量中文大模型训练数据集共建项目,携手中科院自动化所、中国信通院泰尔实验室、智谱AI、澜舟科技、循环智能…打造高质量中文大模型训练数据集共建项目,https://news.sina.cn/sx/2023-07-04/detail-imyzpftt1007246.d.html,2023-07-04,媒体报道,低,china
整数智能 MolarData,拓维信息,企业,合作,搭载DeepSeek的智能数据标注一体机,整数智能x拓维信息：联合首发搭载DeepSeek的智能数据标注一体机,https://www.molardata.com/article/DeepSeek,2025,官网新闻,中,china
库帕思 Kupas,整数智能,其他,合作,共建语料生态产业链,整数智能与上海库帕思科技签订协议，合作共建语料生态产业链,https://www.molardata.com/article/kupasi,未知,官网新闻,中,china
Innodata,新前沿实验室客户（未具名）,frontier lab,财报披露,"2026 Q2 新签一家""增长最快的前沿实验室之一""","landed an important new customer in the quarter, one of the fastest-scaling frontier labs",https://investor.innodata.com/news/news-details/2026/Innodata-Reports-Record-Second-Quarter-2026-Results/default.aspx,2026-08-06,财报,高,overseas-large
Snorkel AI,新实验室,其他,客户,客户类型描述，ARR 3.75 亿美元,"Snorkel now partners with frontier labs, hyperscalers, neolabs, vertical AI leaders, enterprises, and U.S. government agencies",https://www.prnewswire.com/news-releases/snorkel-ai-raises-350m-to-scale-the-data-factory-for-frontier-ai-302886796.html,2026-09-22,供应商官方新闻稿（搜索摘要）,中,overseas-large
恺望数据,旷视,垂直AI,客户,自动驾驶数据,以及毫末、旷视、元戎等自动驾驶公司建立合作关系,https://startup.aliyun.com/info/1062313.html,约2023（Pre-A）,融资稿/搜索摘要,中,china
曼孚科技 MindFlow,旷视,科技大厂,客户,自动驾驶/安防/人脸等数据标注,主要客户…包括阿里巴巴、字节跳动、百度、科大讯飞、旷视、好未来等,https://www.mindflow.com.cn/NewsStd_858.html,2022-07,官网融资稿/搜索摘要,低,china
光轮智能 Lightwheel,智元机器人,垂直AI,合作,仿真资产/合成数据/评测,合作伙伴涵盖英伟达、谷歌、Figure AI、1X Technologies…阿里、智元机器人…比亚迪、吉利等,https://finance.sina.com.cn/wm/2026-03-12/doc-inhqtcut4893757.shtml,2026-03-12,融资稿/媒体报道,中,china
光轮智能 Lightwheel,智元机器人 AgiBot,垂直 AI,客户,具身仿真/合成数据,客户覆盖…智元机器人、银河通用机器人…,https://news.qq.com/rain/a/20260311A055JX00,2026-03-11,媒体（融资通稿，搜索摘要）,中,china
Prime Intellect,智谱,其他,合作,Lab 平台上可 RL 微调的开源模型,"Lab lets users run reinforcement learning on a wide range of open models from Nvidia, Arcee, Hugging Face, Allen AI, Z AI, Qwen（搜索摘要）",https://www.primeintellect.ai/blog/lab,2026-02,官方博客,低,overseas-rl
Surge AI,智谱,国内大模型公司,客户,RL 环境（助力 GLM-4.6）,Access to these RL environments played a huge part in increasing the capabilities for Kimi K2 Thinking and GLM-4.6,https://newsletter.semianalysis.com/p/rl-environments-and-rl-for-science,2025-12,行业分析（SemiAnalysis）,中,buyer-side
海天瑞声 SpeechOcean/DataOcean AI,智谱,国内大模型公司,合作,大模型数据处理技术、大模型数据集供给、大模型评测,已与中国科学院自动化研究所、澜舟科技、智谱AI等大模型领域知名机构签署了合作协议,https://finance.sina.com.cn/7x24/2024-03-15/doc-inankyam8455420.shtml,2024-03-15,媒体报道（互动平台回复，搜索摘要）,中,china
龙猫数据,智谱,国内大模型公司,客户,大模型数据采集/标注,大模型客户包括月之暗面（Kimi）、智谱AI、腾讯混元,https://www.sohu.com/a/873181553_701215,未核（约2025）,媒体软文/搜索摘要,低,china
Innodata,最大客户,科技大厂,财报披露,2026 Q2 最大客户占 37%（Q1 为 56%），另一大厂客户从 17% 升至 34%；最大客户新签长程智能体个性化与电脑操作 RL 环境项目,"the largest customer represented 37% of revenue, down from 56% in Q1, while the Big Tech customer scaled from 17% of revenue to 34%",https://www.investing.com/news/transcripts/earnings-call-transcript-innodata-beats-q2-2026-estimates-shares-jump-after-hours-93CH-4844694,2026-08-06,财报电话会,高,overseas-large
Innodata,最大客户（未具名，外界普遍推测为 Meta）,科技大厂,财报披露,2025 年单一 DDS 客户占总收入约 58%（2024 年约 48%）,one customer in the DDS segment accounted for approximately 58% of the Company's total revenues,https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231x10k.htm,2026-02,财报,高,overseas-large
Surge AI,月之暗面,国内大模型公司,客户,RL 环境（助力 Kimi K2 Thinking）,"Surge is active internationally, selling to Chinese labs like Moonshot and Z.ai",https://newsletter.semianalysis.com/p/rl-environments-and-rl-for-science,2025-12,行业分析（SemiAnalysis）,中,buyer-side
Surge AI,月之暗面,国内大模型公司,客户,RL 训练环境,"Surge AI sells AI training environments to Chinese laboratories, including Moonshot AI and Z.ai",https://www.lawfaremedia.org/article/america-must-protect-its-training-data,2026,评论文章（转述）,低,buyer-side
UniPat AI,月之暗面,国内大模型公司,合作,模型发布采用其 BabyVision 基准（基准被采用，非付费客户关系）：BabyVision 被纳入 Kimi K2.5 评测（媒体称；GitHub README 未见，待核）,"has been adopted by…Seed2.0, Qwen3.5, and Kimi K2.5",https://eu.36kr.com/en/p/3997143103311749,2026-09,媒体（搜索摘要）,低,china
海天瑞声 SpeechOcean/DataOcean AI,月之暗面,国内大模型公司,客户变动（停止合作等）,否认合作,截至公告披露日，公司未与北京月之暗面科技有限公司开展业务合作,https://www.cls.cn/detail/1627621,2024-03-22,公告/媒体报道,高,china
龙猫数据,月之暗面,国内大模型公司,客户,大模型数据采集/标注,龙猫数据的大模型客户包括月之暗面（Kimi）、智谱AI、腾讯混元,https://www.sohu.com/a/873181553_701215,未核（约2025）,媒体软文/搜索摘要,低,china
Preference Model,未具名 1–3 家实验室（独家合同）,frontier lab,客户,闭源环境独家供给实验室,"seed stage company with less than 20 employees, focused on 1 to 3 customers at most ... serves them in exclusive contracts to the labs（搜索摘要）",https://newsletter.semianalysis.com/p/rl-environments-and-rl-for-science,未知,媒体报道,低,overseas-rl
Calaveras,未具名 4 家头部 AI 公司（Chat Arena 前六中的四家）,frontier lab,客户,100B+ token 代码预训练数据集,sold it to four of the top six AI companies in the world (as measured by Chat Arena)（搜索摘要）,https://calaveras.ai/,未知,官网,中,overseas-rl
Datacurve,未具名 AI 实验室,frontier lab,客户,编码训练数据（Shipd 悬赏）,"By October 2025, Datacurve had paid more than $1 million in contributor bounties and signed multimillion-dollar contracts with AI labs（搜索摘要）",https://sacra.com/c/datacurve/,2025-10,第三方目录,低,overseas-rl
Sepal AI,未具名 Fortune 500 与顶级 AI 研究实验室,frontier lab,客户,基准、评测与训练数据,already counts multiple Fortune 500s and top AI research labs as paying customers（搜索摘要）,https://www.ycombinator.com/companies/sepal-ai,未知,官方目录页,中,overseas-rl
Bespoke Labs,未具名 Fortune 500 企业,企业,客户,推理数据策展、定制 RL 环境/评测数据,serves Fortune 500 enterprises and frontier labs (unnamed)（搜索摘要）,https://www.rl-list.com/vendors/bespoke-labs,未知,第三方目录,低,overseas-rl
Preference Model,未具名 frontier AI labs,frontier lab,合作,ML 研究类 RL 训练环境,We're partnering with frontier AI labs to build capabilities for the next generation of LLMs（搜索摘要）,https://www.preferencemodel.com/,未知,官网,中,overseas-rl
Bespoke Labs,未具名 frontier labs,frontier lab,客户,RL 环境与智能体训练/评测基础设施,"We work with frontier labs, neolabs, and enterprises to build this infrastructure（搜索摘要）",https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,2026-07-06,新闻稿,中,overseas-rl
Deeptune,未具名 frontier labs,frontier lab,客户,企业软件复刻 RL 环境（Excel/Salesforce/Slack）,built some of the most sophisticated training environments used by frontier AI labs.（搜索摘要）,https://fortune.com/2026/03/19/andreessen-horowitz-ai-startups-deeptune-series-a/,2026-03-19,媒体报道,低,overseas-rl
Fleet,未具名 frontier labs,frontier lab,客户,企业软件复刻 RL 环境（Salesforce/Excel）,Fleet hit $60M in annualized revenue in April 2026… tracks higher demand from frontier AI labs paying for reinforcement learning environments（搜索摘要）,https://sacra.com/c/fleet/,2026-04,搜索摘要,低,overseas-rl
Good Start Labs,未具名 frontier labs,frontier lab,客户,游戏环境代理轨迹 RL 数据,Its main customers are frontier labs — for which they provide reinforcement learning data（搜索摘要）,https://www.latent.space/p/good-start-labs,2026,访谈,低,overseas-rl
Refresh,未具名 frontier labs,frontier lab,合作,编码与 computer-use 仿真训练环境,actively working with frontier labs to provide the highest quality simulation environments（搜索摘要）,https://www.ycombinator.com/launches/Ncy-refresh-turning-real-work-into-rl-training-grounds,2025,官方发布,中,overseas-rl
Refresh,未具名 frontier labs（自称）,frontier lab,客户,编码/computer-use RL 环境,"customers are self-claimed 'frontier labs', not third-party verified（搜索摘要）",https://www.rl-list.com/vendors/refresh,未知,第三方目录,低,overseas-rl
Collinear AI,未具名 三家全球前四 AI 实验室,frontier lab,客户,RL 环境、verifier、训练数据,works with three of the world's top four AI labs（搜索摘要）,https://aws.amazon.com/solutions/case-studies/collinear-sagemaker/,未知,客户/合作方官方案例,中,overseas-rl
Collinear AI,未具名 国家级 AI 研究实验室,政府,客户,多语种模型安全红队/评测（7 类攻击、30+ 危害类）,How a Leading Research Lab Achieved Multilingual Model Excellence with Collinear（搜索摘要）,https://www.collinear.ai/case-studies/empowering-national-ai-innovation-how-a-leading-research-lab-achieved-multilingual-model-excellence-with-collinear,未知,官方案例,中,overseas-rl
Calaveras,未具名 美国前沿实验室,frontier lab,客户,代码数据与 STEM/白领任务 RL 环境,trusted by almost every frontier lab in the United States（搜索摘要）,https://calaveras.ai/,未知,官网,低,overseas-rl
澳鹏中国 Appen China,未具名AI科技厂商,AI 应用公司,客户,图文大模型：超50亿对图文对描述数据,为某AI科技厂商提供图像文本描述数据服务，提供高质量图文对超过50亿对,https://tech.chinadaily.com.cn/a/202503/13/WS67d2a07aa310510f19eeb60f.html,2025-03-13,新闻稿（中国日报网）,中,china
Poindexter Labs,未具名头部 frontier lab（首个直签合同）,frontier lab,客户,专家推理数据；2026-05 首次直签，此前经中间商供数,"signs its first direct contract with a major frontier AI lab, marking its transition from intermediary partner to named vendor（搜索摘要）",https://pulse2.com/poindexter-labs-raises-2-million-seed-funding/,2026-06,媒体报道,低,overseas-rl
Veris AI,未具名早期企业客户（金融服务,企业,客户,企业 agent 模拟训练环境,"currently working with a select group of early customers across financial services, enterprise productivity, and manufacturing（搜索摘要）",https://www.businesswire.com/news/home/20250603868539/en/Veris-AI-Emerges-from-Stealth-with-$8.5M-to-Train-AI-Agents-Using-Simulated-Experience-Removing-Roadblocks-to-Enterprise-Adoption,2025-06-03,新闻稿（搜索摘要）,中,overseas-rl
景联文科技,杭州金投集团旗下基金,政府,投资方,Pre-A轮数千万元,完成数千万元Pre-A轮融资，投资方为杭州金投集团旗下基金,https://www.jiemian.com/article/12836464.html,2025-05-28,融资稿,高,china
恺望数据,松延动力,垂直AI,投资方,具身智能公司跟投（亦为数据需求方）,鹿明机器人、松延动力、自变量机器人、智元旗下觅蜂科技等头部具身智能公司跟投,https://news.pedaily.cn/202608/567244.shtml,2026-08-04,融资稿,高,china
RWS TrainAI,某大型科技公司（未具名）,科技大厂,客户,235 名领域专家为生成式 AI 做微调,Big tech company fine-tunes generative AI with 235 domain experts,https://www.rws.com/artificial-intelligence/resources/big-tech-company-fine-tunes-generative-ai/,2025,供应商官方案例,中,overseas-large
TELUS Digital,某头部社交媒体客户（未具名）,科技大厂,财报披露,2024 年科技与游戏板块收入下降，主要因头部社交媒体客户收入减少,lower revenue from a leading social media client,https://www.nasdaq.com/press-release/telus-digital-reports-fourth-quarter-and-full-year-2024-results-delivering-stable,2025-02-13,财报,高,overseas-large
